fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.49717,0.00746,0.00625,0.89351,0.00046,4.07756,0.72038,4.60519,1.14588,1.49375,0.01672,0.9,0.18244,0.0,0.08329,0.81657,0.0,0.0,0.0,0.33645,0.0,0.57922,0.0,0.0,0.0,8
0.51844,0.0129,0.00872,0.77183,0.00056,3.9468,0.72511,3.90395,1.78458,1.4212,0.01956,0.9,0.27747,0.0,0.10343,0.54134,0.0,0.0,0.0,0.26693,0.0,1.0,0.0,0.0,0.0,8
0.47844,0.00541,0.00728,0.92661,0.00048,3.68608,0.59228,6.03053,0.88568,1.47972,0.01951,0.83881,0.25517,0.0,0.07229,0.83677,0.0,0.0,0.0,0.4666,0.0,1.0,0.0,0.0,0.0,7
0.55914,0.00742,0.00705,0.91444,0.00047,3.66726,0.73438,4.51168,1.19271,1.18934,0.01632,0.86468,0.15764,0.0,0.08002,0.85198,0.0,0.0,0.0,0.39813,0.0,0.89306,0.0,0.0,0.0,9
0.4984,0.00774,0.00836,0.9381,0.00041,3.75124,0.72013,4.54242,0.73557,0.97684,0.01731,0.89765,0.18001,0.0,0.08284,0.62587,0.0,0.0,0.0,0.30453,0.0,0.99071,0.0,0.0,0.0,6
0.58023,0.0056,0.01195,0.80087,0.00043,4.69371,0.72038,4.97111,1.99584,2.09949,0.01868,0.78099,0.20115,0.0,0.08334,0.90426,0.0,0.0,0.0,0.29809,0.0,0.69106,0.0,0.0,0.0,9
0.54,0.00426,0.0063,0.78231,0.0005,3.42509,0.70525,3.33345,1.15093,1.79013,0.01904,0.68011,0.1935,0.0,0.06816,0.82374,0.0,0.0,0.0,0.33824,0.0,0.58892,0.0,0.0,0.0,8
0.54228,0.00757,0.00791,0.80753,0.0005,3.54189,0.69151,4.54262,0.56549,1.47392,0.02288,0.54187,0.20008,0.0,0.09902,0.61687,0.0,0.0,0.0,0.42105,0.0,1.0,0.0,0.0,0.0,7
0.53512,0.00563,0.01026,0.87594,0.00042,4.02205,0.72038,5.10087,1.38906,1.30119,0.02377,0.57747,0.20113,0.0,0.0835,0.87365,0.0,0.0,0.0,0.39759,0.0,0.9577,0.0,0.0,0.0,10
0.49647,0.0078,0.00599,0.90718,0.00042,5.0,0.95,5.12578,0.93795,1.20725,0.01913,0.9,0.19052,0.0,0.07001,0.95,0.0,0.0,0.0,0.32119,0.0,0.76047,0.0,0.0,0.0,6
0.53838,0.00484,0.01632,0.70446,0.00047,4.57304,0.72038,4.57043,1.06885,2.15521,0.02222,0.77285,0.21682,0.0,0.09297,0.75396,0.0,0.0,0.0,0.60559,0.0,1.0,0.0,0.0,0.0,7
0.48597,0.00507,0.00609,0.82736,0.00046,3.59928,0.73563,4.45316,1.53618,1.99917,0.01802,0.80606,0.16568,0.0,0.08382,0.77732,0.0,0.0,0.0,0.53694,0.0,0.7294,0.0,0.0,0.0,5
0.49636,0.00585,0.01271,0.82249,0.00043,3.94736,0.72038,5.06303,1.68802,1.76029,0.01866,0.9,0.20094,0.0,0.08316,0.86352,0.0,0.0,0.0,0.29313,0.0,0.67935,0.0,0.0,0.0,6
0.51,0.0046,0.00715,0.79892,0.00052,5.0,0.72038,4.66005,1.29997,1.32926,0.02544,0.84291,0.24268,0.0,0.0834,0.80843,0.0,0.0,0.0,0.24483,0.0,0.70962,0.0,0.0,0.0,5
0.53599,0.00434,0.00756,0.91369,0.00026,3.55482,0.69097,3.75994,1.15097,2.08025,0.02055,0.9,0.19042,0.0,0.06094,0.75118,0.0,0.0,0.0,0.30783,0.0,0.99588,0.0,0.0,0.0,10
0.52126,0.0066,0.00508,0.86174,0.00042,4.77991,0.76472,4.21969,1.84163,2.01915,0.01963,0.78762,0.201,0.0,0.08307,0.87353,0.0,0.0,0.0,0.31636,0.0,0.70622,0.0,0.0,0.0,5
0.51195,0.00343,0.00902,0.79178,0.00037,3.77467,0.6094,4.30058,1.21564,1.08405,0.01681,0.9,0.13893,0.0,0.09209,0.79769,0.0,0.0,0.0,0.51575,0.0,0.88997,0.0,0.0,0.0,6
0.46786,0.00581,0.00695,0.83007,0.00046,3.94912,0.72038,5.07461,0.8352,1.14454,0.01955,0.81794,0.20115,0.0,0.083,0.59539,0.0,0.0,0.0,0.30402,0.0,0.80297,0.0,0.0,0.0,7
0.60345,0.00456,0.00527,0.91924,0.00032,3.69694,0.75064,5.10449,1.19957,1.16015,0.01623,0.9,0.18457,0.0,0.08394,0.91732,0.0,0.0,0.0,0.25098,0.0,0.66582,0.0,0.0,0.0,7
0.48406,0.00598,0.01227,0.83065,0.00059,5.0,0.95,4.81985,0.82527,1.12881,0.01934,0.8131,0.20466,0.0,0.08237,0.91244,0.0,0.0,0.0,0.34043,0.0,0.93972,0.0,0.0,0.0,9
0.52989,0.00365,0.00956,0.96512,0.00042,4.76617,0.73641,4.42308,1.47386,1.12976,0.01368,0.9,0.16393,0.0,0.07957,0.95,0.0,0.0,0.0,0.41966,0.0,0.9351,0.0,0.0,0.0,5
0.49013,0.00716,0.00712,0.92019,0.00029,3.87026,0.75313,5.56695,1.23095,2.33193,0.0209,0.86711,0.1843,0.0,0.08171,0.77291,0.0,0.0,0.0,0.40576,0.0,0.6556,0.0,0.0,0.0,5
0.61119,0.00517,0.00556,0.82527,0.00047,4.13845,0.59148,4.23111,1.25087,1.83211,0.01825,0.9,0.21259,0.0,0.08291,0.85167,0.0,0.0,0.0,0.28039,0.0,0.76284,0.0,0.0,0.0,6
0.52728,0.00345,0.00666,0.79741,0.00043,4.50601,0.58183,3.75522,1.24001,2.18232,0.0164,0.79794,0.20672,0.0,0.08295,0.87686,0.0,0.0,0.0,0.42876,0.0,0.70871,0.0,0.0,0.0,8
